"기준일ID","시군구코드","시군구명","총생활인구수","내국인생활인구수","장기체류외국인인구수","단기체류외국인인구수","일최대인구수","일최소인구수","주간인구수(09~18)","야간인구수(19~08)","일최대이동인구수","서울외유입인구수","동일자치구행정동간이동인구수","자치구간이동인구수"
"20200530","11440","마포구","472614.63950","445727.38120","21953.03770","4934.22050","498535.48050","454236.10020","482199.03070","465768.64570","245010.11440","54799.55070","84074.08570","106136.47800"
"20200530","11470","양천구","415688.28210","408392.39790","5877.33450","1418.54960","431178.70800","401056.97170","405327.24480","423089.02300","181613.81080","29889.91220","91654.10620","60069.79240"
"20200530","11500","강서구","551773.68120","539467.19300","9812.38350","2494.10470","573975.24150","523238.74270","534975.90100","563772.09560","224580.54350","50970.01330","119816.04590","53794.48430"
"20200530","11530","구로구","411457.72790","377179.91050","29864.20130","4413.61610","429053.36460","391108.72400","397666.62340","421308.51690","168444.69280","49550.58320","71381.77510","47512.33450"
"20200530","11545","금천구","224935.93580","205798.75120","16924.18190","2213.00260","228997.34810","222248.26660","224525.19970","225229.31870","108204.34210","33014.62400","44541.92250","30647.79560"
"20200530","11560","영등포구","465796.18570","426513.87530","35338.12820","3944.18220","492750.01680","443444.86460","479324.32790","456133.22690","252244.15910","63286.00080","87878.30880","101079.84950"
"20200530","11590","동작구","418570.55650","400446.11460","16519.32010","1605.12180","440548.36710","393639.80810","401926.14750","430459.42010","158459.36850","30032.45570","67728.09060","60698.82220"
"20200530","11620","관악구","524432.49660","499571.53350","23321.28480","1539.67840","556444.06530","488971.20970","500665.82910","541408.68770","207986.27440","36523.91150","113743.77460","57718.58830"
"20200530","11650","서초구","559258.25370","539662.67110","15836.87750","3758.70520","622678.84960","502340.09630","605341.58960","526341.58530","324272.42420","99570.39630","86756.06430","137945.96360"
"20200530","11680","강남구","757683.57990","731743.53820","18504.16050","7435.88120","862450.02340","672562.76610","830934.15330","705361.74180","438693.85630","126712.23730","118833.69870","193147.92030"
"20200530","11710","송파구","766007.54940","742999.51610","16530.99460","6477.03870","775167.08670","755108.68660","762914.56770","768216.82200","343384.87410","87861.02130","164467.19960","91056.65320"
"20200530","11740","강동구","519701.03680","509304.83640","9415.23660","980.96370","547200.06190","488731.06760","497322.09180","535685.99750","216839.95740","43325.44600","133867.13090","39647.38050"
"20200529","11000","서울시","11228106.81980","10753770.29430","409027.29340","65309.23210","11519197.83110","10935365.28900","11482656.90810","11046285.32820","6403369.31970","1500133.32320","2243904.99280","2659331.00370"
"20200529","11110","종로구","321868.23580","303476.66800","16984.80800","1406.75980","432663.50610","228187.05620","407293.68590","260850.05710","296637.34370","72438.87000","35273.78930","188924.68440"
"20200529","11140","중구","311919.93470","287752.36330","21000.17500","3167.39640","455515.11070","192545.73240","424422.76200","231560.77240","336501.42500","85536.49330","33004.37670","217960.55500"
"20200529","11170","용산구","318033.87000","292860.29530","22072.55420","3101.02050","346371.29580","284980.38480","343793.59780","299634.06440","202777.51300","52022.42020","50008.94180","100746.15100"
"20200529","11200","성동구","367312.74680","348740.64980","16567.43550","2004.66160","386596.94870","347162.56190","380207.94530","358101.89080","214590.81820","41180.06190","64469.15030","108941.60600"
"20200529","11215","광진구","394148.76160","369316.64870","22329.73590","2502.37710","419723.19270","360908.17610","371352.48260","410431.81810","183606.36130","34695.70230","82359.16410","66551.49490"
"20200529","11230","동대문구","386648.42060","359948.41100","24507.80690","2192.20280","397309.69780","377318.26210","382230.34960","389804.18560","194428.90010","32677.05460","77063.54490","84688.30060"
"20200529","11260","중랑구","358197.31110","350997.63930","6072.63550","1127.03630","397436.14240","316960.18080","325816.30570","381326.60070","159382.85530","25480.77230","94135.71200","39766.37100"
"20200529","11290","성북구","446762.23340","427458.00190","15932.49860","3371.73280","478673.31560","413073.19710","420444.90550","465560.32470","193600.67660","25078.88320","90644.58900","77877.20440"
"20200529","11305","강북구","303559.34150","297995.74070","5171.85920","391.74170","333494.38150","273698.01420","279280.45460","320901.40360","180982.38780","13181.90940","119920.85760","47879.62080"
"20200529","11320","도봉구","279838.54680","276703.74650","2926.74270","208.05760","302373.80320","254086.68520","259560.38970","294322.94480","138032.39510","18742.28710","75433.52760","43856.58040"
"20200529","11350","노원구","528507.89150","522063.51140","5548.44960","895.93050","569826.56060","483503.84490","492018.50160","554571.74150","222045.32220","36713.13920","127063.57160","58268.61140"
"20200529","11380","은평구","447721.83370","439802.74820","7051.16620","867.91940","500767.20620","391203.68070","402269.51590","480187.77510","181927.07670","31254.97650","113317.63010","37354.47010"
"20200529","11410","서대문구","391732.29130","365934.05280","22297.82690","3500.41150","409336.46120","378426.68360","401330.23700","384876.61580","219930.39760","45070.96830","65778.89410","109080.53520"
"20200529","11440","마포구","493236.91630","467030.44220","21426.75580","4779.71820","532123.79830","454892.04840","518655.97110","475080.44850","301923.53770","72210.38690","88519.93280","141193.21800"
"20200529","11470","양천구","405317.84190","397865.47330","6003.98210","1448.38660","433032.37280","371605.04150","379989.06400","423409.82620","193893.44020","32074.24750","95609.05740","66210.13530"
"20200529","11500","강서구","552549.38270","540250.92430","10043.76540","2254.69290","577475.27290","528657.81750","532863.64560","566610.62350","261817.05720","66465.56110","123459.50420","71891.99190"
"20200529","11530","구로구","422421.72000","390581.56130","28319.30050","3520.85830","430607.47420","411544.79530","416749.97620","426472.96570","216884.20130","68119.28820","74930.77150","73834.14160"
"20200529","11545","금천구","252335.19170","233074.57230","16894.56060","2366.05880","281389.97940","226689.67110","277148.93180","234611.09170","173097.92610","65633.76700","46709.17260","60754.98650"
"20200529","11560","영등포구","516422.34120","478475.17180","33965.90720","3981.26220","580623.61620","448180.40830","573069.65200","475959.97640","365999.00490","97806.46410","92395.19480","175797.34600"
"20200529","11590","동작구","413930.51310","396244.46240","16164.61860","1521.43220","447209.77310","377402.08670","384822.39090","434722.02900","176439.66500","33975.46440","70825.61980","71638.58080"
"20200529","11620","관악구","504330.21600","480397.25000","21989.94990","1943.01610","562292.63340","439423.99910","452989.36770","541002.25050","216665.36460","34615.64670","119498.91740","62550.80050"
"20200529","11650","서초구","630406.44710","609066.41790","17409.89630","3930.13300","749827.04330","511750.55290","729354.29530","559729.41270","466755.22700","149864.46650","89929.81500","226960.94550"
"20200529","11680","강남구","891020.06100","861323.38610","22011.32360","7685.35130","1117154.64640","686737.64560","1074759.01650","759777.95000","701147.73600","213293.83930","131560.77250","356293.12420"
"20200529","11710","송파구","776353.86550","753068.45210","17090.78620","6194.62720","782532.36630","767749.36590","771455.53210","779852.67500","399811.91600","106867.58910","169004.14820","123940.17870"
"20200529","11740","강동구","513530.90420","503341.70380","9242.75320","946.44720","551807.62530","472541.56860","480777.93170","536925.88450","239451.76610","49908.93310","137798.58570","51744.24730"
"20200528","11000","서울시","11257713.50540","10783250.17630","408420.39510","66042.93400","11560874.61550","10949211.26820","11519117.11940","11070996.63830","6501431.40250","1525526.22440","2273491.89410","2702413.28400"
"20200528","11110","종로구","324498.19750","306322.42500","16623.33290","1552.43960","441780.78340","228504.40400","413785.26670","260721.71950","304908.06940","75905.15880","36123.71290","192879.19770"
"20200528","11140","중구","313971.15650","291019.75010","20066.61290","2884.79360","462944.60700","192823.86460","430194.96640","230954.14950","343888.44770","88616.18200","33359.31840","221912.94730"
"20200528","11170","용산구","319961.04580","293159.64520","23403.47020","3397.93050","349055.01420","286809.82610","345882.28680","301445.87360","204188.86950","51922.82340","51477.24710","100788.79900"
"20200528","11200","성동구","368853.26740","350313.38840","16545.20540","1994.67350","386375.90290","349480.21550","381498.73550","359820.79010","217561.38610","41471.35730","65553.56480","110536.46400"
"20200528","11215","광진구","392840.02590","368602.21610","22391.87150","1845.93820","415775.94770","359239.03980","369029.02370","409847.88460","182530.28570","34699.36060","82687.68590","65143.23920"
"20200528","11230","동대문구","389328.96090","361931.96820","24608.70600","2788.28670","398993.77240","380130.12890","384743.40300","392604.35930","200499.28100","33701.97960","79410.86660","87386.43480"
"20200528","11260","중랑구","358478.90210","351559.80210","6033.15330","885.94660","396877.33250","315945.90260","325131.58460","382298.41450","160762.20160","25182.15600","95625.15280","39954.89280"
"20200528","11290","성북구","449422.62090","429869.92340","16202.22710","3350.47040","480798.83220","414486.34580","421865.92380","469105.97590","194370.69530","25124.83320","91065.03710","78180.82500"
"20200528","11305","강북구","303873.83790","298335.00500","5104.74710","434.08580","333693.83080","273563.40490","279256.82550","321457.41810","183832.37470","12963.86570","122972.15960","47896.34940"
"20200528","11320","도봉구","280082.45240","277076.61990","2923.23500","82.59750","303149.26400","254645.82140","258971.69560","295161.56440","139999.32980","18716.76390","76640.49380","44642.07210"
"20200528","11350","노원구","528600.18030","522303.46290","5550.71290","746.00450","569979.28770","482272.16900","491361.49380","555199.24210","223000.31600","36833.76200","126527.90230","59638.65170"
"20200528","11380","은평구","447173.97790","439379.62840","7005.37080","788.97870","501309.98570","387709.97240","399804.27500","481009.48000","181578.49350","30606.36260","113837.68930","37134.44160"
"20200528","11410","서대문구","396148.26040","370471.43820","22347.11310","3329.70910","415485.74780","384409.32450","408195.38280","387543.17290","227549.14930","47823.30820","67800.90730","111924.93380"
"20200528","11440","마포구","488870.04080","463890.97220","21268.56110","3710.50740","525780.75180","453144.87270","513962.05480","470947.17360","302633.45580","72783.91470","88807.36830","141042.17280"
"20200528","11470","양천구","404951.42640","397497.30510","6078.68190","1375.43940","433889.69100","368453.63740","377766.49200","424369.23670","194491.79500","32097.71320","96117.69760","66276.38420"
"20200528","11500","강서구","554567.97320","541691.50630","10151.27140","2725.19550","578689.76380","529580.70200","533943.55090","569299.70350","266322.70310","67506.47670","125361.90780","73454.31860"
"20200528","11530","구로구","424037.58390","392389.25460","28387.35130","3260.97800","432072.16180","412576.27130","418427.33350","428044.90560","220114.41210","68771.72780","76529.99790","74812.68640"
"20200528","11545","금천구","254173.71000","235025.81060","16951.71560","2196.18380","283522.49420","226525.87270","280107.95620","235649.24840","177176.48680","67728.00480","47784.94970","61663.53230"
"20200528","11560","영등포구","519185.19950","481378.97950","33771.87770","4034.34230","587089.77550","448287.88740","579026.64840","476441.30740","376251.74100","99820.96710","94469.62250","181961.15140"
"20200528","11590","동작구","414600.40160","397304.54550","15768.49770","1527.35840","447678.30590","376774.44570","384445.10710","436139.89760","179323.90500","33915.27630","72232.67090","73175.95780"
"20200528","11620","관악구","504397.52920","480654.63010","21733.64860","2009.25040","562181.14120","437806.23090","450598.77150","542825.21330","218072.09740","34619.05250","120664.51670","62788.52820"
"20200528","11650","서초구","632181.89710","610680.79570","17124.49660","4376.60480","754628.48100","511844.15500","733456.25980","559843.06660","473435.92820","151471.40950","90196.80710","231767.71160"
"20200528","11680","강남구","899057.34260","867910.68970","22289.69430","8856.95870","1131995.15360","688960.16790","1088638.91160","763641.93620","719049.79240","219823.17280","135499.92020","363726.69940"
"20200528","11710","송파구","775890.91400","752310.81380","16886.09180","6694.00850","781937.74300","767368.67120","771116.07620","779301.51250","406620.02730","108915.19020","171107.64150","126597.19560"
"20200528","11740","강동구","512566.60160","502169.60040","9202.74890","1194.25220","550390.95170","469235.86930","477907.09430","537323.39250","239801.22680","48758.07820","139506.46640","51536.68220"
"20200527","11000","서울시","11268078.94220","10791392.82140","407267.25880","69418.86200","11570221.51140","10955268.30590","11529955.91060","11081023.96480","6535695.16380","1529611.44910","2284950.48950","2721133.22520"
"20200527","11110","종로구","325690.55470","307102.03670","16638.89300","1949.62490","445946.33670","227451.73520","417139.64530","260369.77570","309662.68200","76938.29300","35977.37730","196747.01170"
"20200527","11140","중구","314125.83960","290852.02270","20072.30510","3201.51180","465329.33100","191978.42730","431533.84500","230262.97850","346743.77120","88592.94780","33786.57260","224364.25080"
"20200527","11170","용산구","319310.09410","292719.03230","22953.57770","3637.48410","347474.55600","285986.74350","345028.72570","300939.64290","204500.63760","51860.08890","51484.79750","101155.75120"
"20200527","11200","성동구","368422.21630","350591.82040","15842.56520","1987.83070","386550.53350","347285.64600","381605.17070","359005.82040","219538.45980","41865.03440","65952.34500","111721.08040"
