상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도,상호명_소문자,브랜드명
19976038,스타벅스,이태원점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11170,용산구,1117065000,이태원1동,1117013000,이태원동,1117013000201270006,1,대지,127,6.0,서울특별시 용산구 이태원동 127-6,111703102009,서울특별시 용산구 이태원로,188,,1117013000101270029009542,,서울특별시 용산구 이태원로 188,140200,4406.0,,,29,126.99478127566401,37.5343029422413,스타벅스,스타벅스
19998811,스타벅스종로3가점,종로3가점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11110,종로구,1111061500,종로1.2.3.4가동,1111015600,종로3가,1111015600200090003,1,대지,9,3.0,서울특별시 종로구 종로3가 9-3,111103100013,서울특별시 종로구 종로,113,1.0,1111015600100090003016323,,서울특별시 종로구 종로 113-1,110123,3139.0,,1,,126.99020724045499,37.570585018689606,스타벅스종로3가점,스타벅스
20680373,스타벅스,신사2점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11650,서초구,1165054000,잠원동,1165010600,잠원동,1165010600200280001,1,대지,28,1.0,서울특별시 서초구 잠원동 28-1,116502102001,서울특별시 서초구 강남대로,581,,1165010600100280001019301,푸른빌딩,서울특별시 서초구 강남대로 581,137904,6530.0,,2,,127.019762756075,37.5136626341355,스타벅스,스타벅스
20283351,스타벅스커피여의도IFC1F,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11560,영등포구,1156054000,여의동,1156011000,여의도동,1156011000200230000,1,대지,23,,서울특별시 영등포구 여의도동 23,115603118002,서울특별시 영등포구 국제금융로,10,,1156011000100230000000001,서울국제금융센터,서울특별시 영등포구 국제금융로 10,150945,7326.0,,3,,126.924863083917,37.5251722235016,스타벅스커피여의도ifc1f,스타벅스
20288646,스타벅스,삼성역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168058000,삼성1동,1168010500,삼성동,1168010500201680026,1,대지,168,26.0,서울특별시 강남구 삼성동 168-26,116804166710,서울특별시 강남구 테헤란로103길,9,,1168010500101680026016641,제일빌딩,서울특별시 강남구 테헤란로103길 9,135090,6173.0,,1,,127.063878213052,37.5100378471739,스타벅스,스타벅스
20597950,스타벅스,신림포도몰점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11620,관악구,1162064500,서원동,1162010200,신림동,1162010200216410002,1,대지,1641,2.0,서울특별시 관악구 신림동 1641-2,116203120005,서울특별시 관악구 신림로,330,,1162010200116410002000002,포도몰,서울특별시 관악구 신림로 330,151930,8777.0,,1,,126.930215862294,37.4838447505118,스타벅스,스타벅스
20825451,스타벅스신림사거리점,신림사거리점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11620,관악구,1162069500,신림동,1162010200,신림동,1162010200214220035,1,대지,1422,35.0,서울특별시 관악구 신림동 1422-35,116202000003,서울특별시 관악구 남부순환로,1619,,1162010200114220037013287,영일빌딩,서울특별시 관악구 남부순환로 1619,151890,8754.0,,2,,126.930487328505,37.484631121894395,스타벅스신림사거리점,스타벅스
22519435,스타벅스,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11740,강동구,1174061000,천호2동,1174010900,천호동,1174010900204540060,1,대지,454,60.0,서울특별시 강동구 천호동 454-60,117404172367,서울특별시 강동구 천호대로157길,19,,1174010900104540060011660,,서울특별시 강동구 천호대로157길 19,134020,5329.0,,,,127.127021430163,37.538787576544706,스타벅스,스타벅스
23242282,스타벅스커피홍대역,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11440,마포구,1144066000,서교동,1144012100,동교동,1144012100201590001,1,대지,159,1.0,서울특별시 마포구 동교동 159-1,114403113014,서울특별시 마포구 양화로,165,,1144012100101590001011730,상진빌딩,서울특별시 마포구 양화로 165,121756,3995.0,,1,,126.923599454067,37.5572017356505,스타벅스커피홍대역,스타벅스
25467314,스타벅스,신사역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168052100,논현1동,1168010800,논현동,1168010800200010003,1,대지,1,3.0,서울특별시 강남구 논현동 1-3,116802122001,서울특별시 강남구 도산대로,108,,1168010800100010003000001,,서울특별시 강남구 도산대로 108,135010,6038.0,,1,,127.02063474001801,37.5161838031466,스타벅스,스타벅스
